trait	hgnc_symbol
Urate_all	PPM1A
Urate_all	AP2A2
Urate_all	CCR5AS
Urate_all	ADAMTSL4-AS2
Urate_all	ZNF876P
Urate_all	EOGT-DT
Urate_all	DNAAF9
Urate_all	SLC22A7
Urate_all	TJAP1
Urate_all	CEP70
Urate_all	BLOC1S2
Urate_all	RCOR2
Urate_all	ZKSCAN3
Urate_all	SLC5A11
Urate_all	HNF4G
Urate_all	PRTG
Urate_all	IL13
Urate_all	ITGB5
Urate_all	AQP10
Urate_all	LINC02308
Urate_all	LYAR
Urate_all	OCLN
Urate_all	NLRC3
Urate_all	PLBD1
Urate_all	STAT6
Urate_all	SOX8
Urate_all	PSMD1
Urate_all	YAF2
Urate_all	ZKSCAN8P1
Urate_all	OGN
Urate_all	RN7SL4P
Urate_all	NFATC1
Urate_all	TBXAS1
Urate_all	NTN4
Urate_all	IGF1R
Urate_all	GTF3C2
Urate_all	BAZ1B
Urate_all	DOC2A
Urate_all	TBKBP1
Urate_all	MMP11
Urate_all	NRN1L
Urate_all	DPY19L1P1
Urate_all	OTUB1
Urate_all	ACSS2
Urate_all	TMEM267
Urate_all	BAK1
Urate_all	ARHGAP17
Urate_all	LINC00997
Urate_all	PGBD1
Urate_all	SIRT1
Urate_all	C5orf64
Urate_all	ENSA
Urate_all	STK32C
Urate_all	SLC4A11
Urate_all	LMF1-AS1
Urate_all	PAX2
Urate_all	IDH2
Urate_all	KRT8P46
Urate_all	RNF26
Urate_all	MTCH2
Urate_all	PUF60
Urate_all	INS-IGF2
Urate_all	FASN
Urate_all	FAM151B
Urate_all	DGAT2
Urate_all	CUTA
Urate_all	ATP6V1B1
Urate_all	PEX14
Urate_all	MMP17
Urate_all	CNTFR
Urate_all	RIT2
Urate_all	FOXM1
Urate_all	PRXL2A
Urate_all	IL18RAP
Urate_all	LGALS7B
Urate_all	SIGMAR1
Urate_all	CHD9
Urate_all	TLCD3B
Urate_all	PPP1R15B
Urate_all	FAM102A
Urate_all	XPC
Urate_all	CYP4A11
Urate_all	LFNG
Urate_all	ZKSCAN4
Urate_all	TLN1
Urate_all	KCNK5
Urate_all	FLOT2
Urate_all	RPS15AP10
Urate_all	HNRNPA1P14
Urate_all	ADAMTS9-AS2
Urate_all	ZNF702P
Urate_all	ZNF320
Urate_all	ZNF888
Urate_all	ZNF415
Urate_all	RNF2
Urate_all	SERTAD4-AS1
Urate_all	R3HDM2
Urate_all	FOXO1
Urate_all	SPON1
Urate_all	CPED1
Urate_all	TSPAN12
Urate_all	ING3
Urate_all	PRKD3
Urate_all	RIOK3
Urate_all	AFAP1
Urate_all	ZNF654
Urate_all	RXFP2
Urate_all	TULP3
Urate_all	SESN1
Urate_all	EGR2
Urate_all	PCGF5
Urate_all	PLA2G15
Urate_all	GORASP1
Urate_all	RPSAP52
Urate_all	SENP7
Urate_all	ZC2HC1A
Urate_all	PHC2
Urate_all	CFAP69
Urate_all	CIITA
Urate_all	SOX18
Urate_all	BCL2L11
Urate_all	G3BP2
Urate_all	AP4E1
Urate_all	NNT-AS1
Urate_all	GPR157
Urate_all	PELO
Urate_all	LAMA5
Urate_all	SCAANT1
Urate_all	NPM1P21
Urate_all	COX8A
Urate_all	AQP1
Urate_all	LINC01117
Urate_all	ADAMTS7P4
Urate_all	LCA5
Urate_all	ITPRID2
Urate_all	PPARG
Urate_all	TECPR1
Urate_all	CYP2AB1P
Urate_all	ST13P19
Urate_all	LCT
Urate_all	DSCAML1
Urate_all	SUFU
Urate_all	PKIA
Urate_all	SLC35E2B
Urate_all	RPL35AP36
Urate_all	PRPSAP1
Urate_all	NCKAP5
Urate_all	TENT5C
Urate_all	CCDC157
Urate_all	CRTAC1
Urate_all	BICD2
Urate_all	KIF25-AS1
Urate_all	SEPTIN4
Urate_all	SPATA33
Urate_all	YJEFN3
Urate_all	GXYLT1
Urate_all	ISL2
Urate_all	ZNF197-AS1
Urate_all	DNAAF5
Urate_all	SFMBT1
Urate_all	KIAA2012-AS1
Urate_all	LPGAT1
Urate_all	PRKAR1B-AS1
Urate_all	SMIM24
Urate_all	GCNT2
Urate_all	MAP6D1
Urate_all	HNF1A
Urate_all	MGAM2
Urate_all	LITAF
Urate_all	PUS1
Urate_all	NXNL2
Urate_all	RNF223
Urate_all	RBBP8NL
Urate_all	IVNS1ABP
Urate_all	MSRA
Urate_all	RNF157-AS1
Urate_all	NUTM2A-AS1
Urate_all	EIF2S2
Urate_all	UNKL
Urate_all	HLA-G
Urate_all	EIF4EP2
Urate_all	S100A1
Urate_all	KLC2-AS1
Urate_all	LINC00240
Urate_all	PDCL3P4
Urate_all	TSPOAP1-AS1
Urate_all	TFEB
Urate_all	EXPH5
Urate_all	PLEKHH1
Urate_all	RNF43
Urate_all	ZSCAN31
Urate_all	GPBP1L1
Urate_all	KPNB1
Urate_all	HMGA2
Urate_all	ZNF28
Urate_all	ZNF468
Urate_all	TMEM14A
Urate_all	ZNF888-AS1
Urate_all	BMP2K
Urate_all	PPP1R14C
Urate_all	ACSM3
Urate_all	MYOF
Urate_all	HSD17B14
Urate_all	MIR647
Urate_all	GNG4
Urate_all	DMRTA2
Urate_all	ZNF682
Urate_all	CHCHD2P6
Urate_all	IPP
Urate_all	SMPDL3A
Urate_all	SETD5
Urate_all	UBE2H
Urate_all	LINC02783
Urate_all	ASGR1
Urate_all	KIT
Urate_all	MAT1A
Urate_all	PADI1
Urate_all	TMEM11
Urate_all	AKR1C3
Urate_all	CBX7
Urate_all	MECOM
Urate_all	ARL11
Urate_all	CTBS
Urate_all	DPYD
Urate_all	TOB2P1
Urate_all	ZNF665
Urate_all	ACTG1P20
Urate_all	TCF20
Urate_all	USP2
Urate_all	RPL23A
Urate_all	PPARGC1B
Urate_all	RIPOR2
Urate_all	RPL32P1
Urate_all	SERGEF
Urate_all	GRP
Urate_all	ULK1
Urate_all	TLCD2
Urate_all	CTSK
Urate_all	OLFM5P
Urate_all	HNRNPKP2
Urate_all	TERLR1
Urate_all	EYA2
Urate_all	KPNB1-DT
Urate_all	SFXN2
Urate_all	RNF123
Urate_all	STAC3
Urate_all	ADCY5
Urate_all	CRK
Urate_all	RSKR
Urate_all	CARMIL1
Urate_all	CSNK1D
Urate_all	RTN4RL1
Urate_all	TAF2
Urate_all	PPFIBP2
Urate_all	HAGH
Urate_all	KCNJ12
Urate_all	NSG2
Urate_all	MYOZ2
Urate_all	C5orf47
Urate_all	USP50
Urate_all	BAG4
Urate_all	FOSL2
Urate_all	P4HTM
Urate_all	PACS1
Urate_all	ANKRD19P
Urate_all	SEPTIN11
Urate_all	NDUFS3
Urate_all	BIRC6
Urate_all	FMN1
Urate_all	EPB41L5
Urate_all	DLK2
Urate_all	LBP
Urate_all	SMARCB1
Urate_all	KCNAB2
Urate_all	CHCHD4
Urate_all	RAD51C
Urate_all	PDGFRA
Urate_all	GBAP1
Urate_all	RAPGEF4
Urate_all	C1QTNF4
Urate_all	SLC22A14
Urate_all	OGFOD1
Urate_all	FGF5
Urate_all	ANKRD55
Urate_all	TRIM6
Urate_all	PPM1E
Urate_all	GCKR
Urate_all	RBFADN
Urate_all	FLT3
Urate_all	BCL2L14
Urate_all	TEX52
Urate_all	ICAM4-AS1
Urate_all	FMO1
Urate_all	AKAP13
Urate_all	SLC10A2
Urate_all	ABCC5
Urate_all	CELF1
Urate_all	IPO9-AS1
Urate_all	VN1R20P
Urate_all	KCNJ13
Urate_all	GOLGA7
Urate_all	SLC17A1
Urate_all	UHRF2
Urate_all	CSPG5
Urate_all	DFFA
Urate_all	ATL3
Urate_all	ZDHHC21
Urate_all	ABCC10
Urate_all	ATP1B3
Urate_all	ESPNL
Urate_all	TSPAN33
Urate_all	LINC00562
Urate_all	BSN
Urate_all	SLC38A4
Urate_all	DYDC2
Urate_all	UGT2B17
Urate_all	ERVH48-1
Urate_all	ATXN7L2
Urate_all	CYP2A6
Urate_all	GSTA7P
Urate_all	RPS3AP38
Urate_all	GSTA12P
Urate_all	SMO
Urate_all	RPS2P4
Urate_all	QPRT
Urate_all	FMO3
Urate_all	TRMT1L
Urate_all	C1GALT1P1
Urate_all	C5orf34-AS1
Urate_all	CELSR2
Urate_all	KLB
Urate_all	S1PR2
Urate_all	SORT1
Urate_all	PTMA
Urate_all	NRBP2
Urate_all	RASL11A
Urate_all	GANAB
Urate_all	INHBB
Urate_all	MED4-AS1
Urate_all	NUDT15
Urate_all	CEP89
Urate_all	PTGER1
Urate_all	GSTA2
Urate_all	PWWP3A
Urate_all	KLHDC7A
Urate_all	SNX22
Urate_all	RPL10AP1
Urate_all	LINC01945
Urate_all	LINC02688
Urate_all	IFT57
Urate_all	JMJD1C
Urate_all	IL4I1
Urate_all	CNOT7
Urate_all	HMGA2-AS1
Urate_all	HAPLN4
Urate_all	DPEP1
Urate_all	SIT1
Urate_all	NRBP1
Urate_all	ATP1B1
Urate_all	SERBP1P3
Urate_all	PPM1G
Urate_all	SUGP1
Urate_all	TRPM7
Urate_all	SMG8
Urate_all	INHBE
Urate_all	ITGB2
Urate_all	LRRC37A15P
Urate_all	TBC1D10A
Urate_all	NUTM2A
Urate_all	QRICH2
Urate_all	PROCA1
Urate_all	RAC3
Urate_all	NSD1
Urate_all	FADS3
Urate_all	DNAI1
Urate_all	PAX1
Urate_all	SMYD2
Urate_all	SSR4P1
Urate_all	NCOA3
Urate_all	LINC02551
Urate_all	NGEF
Urate_all	PXYLP1
Urate_all	NDUFS6
Urate_all	GGT7
Urate_all	ZFP62
Urate_all	QKI
Urate_all	NECTIN2
Urate_all	DAPK2
Urate_all	LINC01342
Urate_all	ZKSCAN7-AS1
Urate_all	SCN2A
Urate_all	ANKRD33
Urate_all	BFSP1
Urate_all	RN7SL600P
Urate_all	CRTC1
Urate_all	TMEM171
Urate_all	UBE2Q2
Urate_all	CYP4Z1
Urate_all	CCL27
Urate_all	IFT172
Urate_all	BCAM
Urate_all	PGPEP1
Urate_all	YIPF3
Urate_all	ERBB4
Urate_all	NUTM2D
Urate_all	AQP4-AS1
Urate_all	CEP170B
Urate_all	SLC22A11
Urate_all	EMX2OS
Urate_all	SMLR1
Urate_all	PNPLA2
Urate_all	APOBEC3D
